age,annual_income,employment_length,loan_interest_rate,loan_percent_income,person_home_ownership,person_default_on_file,person_cred_history_length,loan_status
26,53000,3,6.030,0.050,MORTGAGE,N,4,0
24,53000,8,14.910,0.190,MORTGAGE,N,4,0
24,53000,3,7.510,0.180,OWN,N,4,0
24,53000,0,14.420,0.140,MORTGAGE,N,3,0
23,46852,3,10.650,0.150,RENT,N,2,1
24,54000,8,10.590,0.130,RENT,N,3,0
25,70000,5,5.420,0.100,RENT,N,2,0
26,47360,10,14.610,0.130,MORTGAGE,Y,3,1
25,31000,1,14.420,0.210,RENT,Y,3,1
25,29120,0,16.290,0.220,RENT,N,2,1
25,53742,9,5.790,0.200,MORTGAGE,N,2,0
26,34200,2,17.490,0.190,RENT,Y,3,1
25,50000,0,9.910,0.130,RENT,N,4,0
24,54000,8,10.990,0.160,MORTGAGE,N,3,0
25,54000,2,6.920,0.240,MORTGAGE,N,4,0
26,54000,10,5.420,0.130,MORTGAGE,N,2,0
24,112000,8,6.620,0.060,RENT,N,2,0
24,54000,8,9.990,0.070,MORTGAGE,N,4,0
24,33000,2,17.560,0.210,RENT,Y,3,1
26,54000,6,7.510,0.190,MORTGAGE,N,3,0
25,54000,5,11.830,0.150,OWN,N,3,0
26,54200,3,7.490,0.130,MORTGAGE,N,3,0
24,54400,8,7.660,0.060,MORTGAGE,N,2,0
25,54499,2,9.630,0.220,MORTGAGE,N,4,0
23,32000,0,14.260,0.220,RENT,N,4,1
26,54578,10,12.180,0.440,OWN,N,4,0
25,54900,2,10.990,0.050,MORTGAGE,N,2,0
25,55000,6,10.990,0.120,MORTGAGE,N,2,0
24,55000,0,15.230,0.080,MORTGAGE,Y,3,0
21,44004,2,11.460,0.160,RENT,N,2,1
24,55000,8,5.420,0.110,MORTGAGE,N,3,0
25,52000,2,10.590,0.130,RENT,N,2,0
26,55000,10,7.880,0.180,MORTGAGE,N,3,0
26,61200,3,6.990,0.120,RENT,N,2,0
24,55000,2,8.000,0.150,MORTGAGE,N,2,0
26,55000,2,12.210,0.150,MORTGAGE,N,2,0
22,39000,0,9.450,0.180,RENT,N,3,1
24,55000,1,8.070,0.100,MORTGAGE,N,4,0
25,60000,3,13.480,0.120,RENT,Y,4,0
26,55316,10,5.420,0.110,OWN,N,3,0
24,55530,8,5.990,0.140,MORTGAGE,N,4,0
24,55600,2,13.570,0.210,MORTGAGE,Y,2,0
26,111000,1,12.180,0.060,RENT,N,3,0
26,56000,9,12.420,0.180,MORTGAGE,N,2,0
25,135000,6,9.910,0.050,RENT,N,3,0
25,62467,1,10.650,0.120,RENT,N,4,0
24,56000,4,13.990,0.340,MORTGAGE,Y,3,0
26,56000,0,11.140,0.140,MORTGAGE,N,4,0
22,34404,2,15.050,0.220,RENT,N,2,1
21,37260,1,14.840,0.200,RENT,Y,2,1
24,57000,8,9.990,0.350,MORTGAGE,N,2,0
25,57000,5,14.460,0.200,MORTGAGE,Y,4,0
26,44000,0,16.400,0.170,RENT,N,3,1
22,51000,3,11.860,0.240,MORTGAGE,N,3,1
24,50000,2,10.010,0.150,RENT,N,3,0
24,55000,1,12.530,0.140,RENT,N,2,0
24,57600,8,6.620,0.180,MORTGAGE,N,3,0
23,62844,7,11.970,0.120,RENT,N,4,1
23,64000,0,13.550,0.120,RENT,N,3,1
22,76500,0,13.240,0.100,RENT,Y,4,1
26,116600,2,11.590,0.060,RENT,Y,3,0
24,57996,5,11.890,0.040,MORTGAGE,N,4,0
25,125000,3,12.690,0.060,RENT,N,4,0
25,54000,7,6.990,0.140,RENT,N,4,0
25,60000,1,12.210,0.130,RENT,N,4,0
24,58000,3,5.420,0.100,MORTGAGE,N,4,0
24,24000,0,17.270,0.320,RENT,N,3,1
25,58000,8,13.110,0.300,MORTGAGE,Y,4,0
24,58000,0,7.680,0.060,MORTGAGE,N,2,0
25,58000,5,13.240,0.170,MORTGAGE,N,4,0
26,52704,8,10.950,0.060,MORTGAGE,N,4,1
25,58750,6,15.330,0.100,MORTGAGE,Y,3,0
22,14400,3,9.990,0.560,RENT,N,4,1
21,15500,3,7.510,0.520,RENT,N,4,1
24,16000,0,13.570,0.500,RENT,N,2,1
22,19200,4,16.290,0.420,RENT,Y,3,1
24,19200,1,13.610,0.420,RENT,Y,3,1
25,59000,5,6.990,0.100,MORTGAGE,N,3,0
25,21996,3,13.980,0.360,RENT,Y,2,1
24,23000,0,13.490,0.350,RENT,N,4,1
25,59000,6,6.170,0.080,OWN,N,2,0
25,25000,1,12.420,0.320,RENT,N,3,1
26,59000,7,9.760,0.010,MORTGAGE,N,2,0
23,27996,0,17.580,0.290,RENT,Y,4,1
25,59796,4,9.630,0.120,MORTGAGE,N,2,0
26,54000,10,12.690,0.070,MORTGAGE,N,4,1
26,31000,5,14.270,0.260,RENT,Y,3,1
26,60000,8,10.650,0.200,MORTGAGE,N,2,0
24,54000,6,14.650,0.120,MORTGAGE,Y,2,1
24,29000,4,12.420,0.280,RENT,N,2,1
24,60000,9,12.420,0.030,MORTGAGE,N,2,0
25,60000,1,15.270,0.080,MORTGAGE,Y,2,0
26,60000,6,9.990,0.080,MORTGAGE,N,2,0
23,39000,3,11.360,0.210,RENT,N,3,1
25,60000,9,5.790,0.110,MORTGAGE,N,4,0
25,60000,9,7.290,0.080,OWN,N,4,0
23,42000,3,15.580,0.190,RENT,N,2,1
25,60000,9,10.740,0.090,MORTGAGE,N,2,0
25,60000,4,6.170,0.110,OWN,N,3,0
24,46500,2,15.230,0.170,RENT,Y,2,1
26,54600,4,13.800,0.150,RENT,Y,4,0
26,54000,2,13.980,0.110,MORTGAGE,Y,3,1
24,55000,8,13.800,0.150,RENT,Y,2,0
23,49161,1,13.170,0.160,RENT,Y,4,1
24,60000,3,11.860,0.070,MORTGAGE,N,2,0
25,57600,0,7.660,0.140,RENT,N,2,0
25,60000,5,14.590,0.050,MORTGAGE,Y,3,0
25,60000,9,14.220,0.020,OWN,Y,3,0
25,54000,1,11.490,0.150,RENT,N,4,1
24,60000,3,14.590,0.130,RENT,Y,3,0
24,55000,2,14.610,0.150,RENT,N,2,1
26,55700,2,13.490,0.140,RENT,Y,4,1
22,54000,6,13.480,0.220,MORTGAGE,N,2,1
25,66000,1,11.490,0.080,RENT,N,2,0
24,10668,0,7.880,0.470,RENT,N,3,1
22,54000,1,14.610,0.190,MORTGAGE,Y,4,1
24,60000,6,8.940,0.230,MORTGAGE,N,2,0
22,17720,6,9.620,0.280,RENT,N,4,1
25,19200,0,9.620,0.260,RENT,N,2,1
25,60000,9,13.790,0.050,OWN,Y,2,0
23,54000,7,16.320,0.300,OTHER,N,3,1
25,60000,9,10.830,0.170,MORTGAGE,N,4,0
23,24000,0,14.270,0.210,RENT,Y,2,1
25,61000,9,9.880,0.250,MORTGAGE,N,2,0
24,64000,8,7.900,0.130,RENT,N,2,0
26,61200,4,12.840,0.020,OWN,Y,2,0
21,55400,5,14.270,0.090,MORTGAGE,N,4,1
26,70000,10,7.900,0.110,RENT,N,4,0
26,71000,10,13.490,0.110,RENT,Y,4,0
22,66000,6,14.650,0.120,RENT,Y,4,1
24,72000,5,10.000,0.110,RENT,N,3,0
25,62000,9,12.990,0.050,MORTGAGE,N,2,0
25,69000,1,13.990,0.120,RENT,Y,2,1
24,62000,6,10.740,0.160,MORTGAGE,N,2,0
26,80000,0,5.990,0.100,RENT,N,2,0
25,74000,9,7.290,0.110,RENT,N,3,1
26,76000,6,13.480,0.110,RENT,Y,4,1
25,56000,7,11.490,0.040,MORTGAGE,N,3,1
24,85000,0,13.060,0.090,RENT,Y,2,0
24,62000,2,10.080,0.130,MORTGAGE,N,3,0
25,95000,3,13.800,0.080,RENT,N,3,0
26,84000,0,12.610,0.100,RENT,N,4,1
25,62004,10,13.470,0.240,MORTGAGE,N,4,0
25,62400,4,10.990,0.030,MORTGAGE,N,4,0
26,56000,6,12.870,0.150,RENT,N,4,0
25,30000,0,8.900,0.280,RENT,N,3,1
24,83000,4,7.880,0.100,RENT,N,2,0
25,63000,2,9.990,0.320,MORTGAGE,N,2,0
26,63000,10,9.250,0.160,MORTGAGE,N,3,0
26,50000,2,14.720,0.170,RENT,Y,3,0
24,63000,0,8.940,0.280,OWN,N,4,0
26,63000,6,11.460,0.380,MORTGAGE,N,4,0
26,63000,3,12.040,0.060,MORTGAGE,Y,4,0
26,63096,1,5.990,0.070,MORTGAGE,N,3,0
26,63180,4,13.430,0.090,OWN,Y,2,0
25,63720,8,7.510,0.200,MORTGAGE,N,3,0
26,64000,7,6.620,0.080,MORTGAGE,N,2,0
25,95000,0,8.590,0.090,RENT,N,2,0
25,64000,9,5.990,0.140,MORTGAGE,N,2,0
25,150000,2,7.740,0.060,RENT,N,4,0
26,64000,10,10.380,0.230,MORTGAGE,N,3,0
24,26400,3,11.490,0.340,RENT,N,3,1
22,30000,0,13.490,0.300,RENT,Y,4,1
26,65000,2,6.620,0.150,MORTGAGE,N,3,0
26,65000,1,9.910,0.260,MORTGAGE,N,2,0
23,35500,2,15.990,0.250,RENT,Y,2,1
26,65000,1,13.490,0.070,OWN,Y,2,0
26,65000,10,6.990,0.120,MORTGAGE,N,3,0
26,50200,1,7.660,0.180,RENT,N,3,0
25,65000,3,10.990,0.020,MORTGAGE,N,2,0
26,65000,3,10.990,0.180,MORTGAGE,N,4,0
26,65000,7,9.990,0.220,MORTGAGE,N,3,0
26,65000,8,7.490,0.180,MORTGAGE,N,4,0
25,48000,7,15.050,0.190,RENT,Y,3,1
24,65000,8,5.420,0.030,MORTGAGE,N,3,0
22,59000,7,15.620,0.080,MORTGAGE,Y,4,1
25,55000,5,11.110,0.160,RENT,N,2,0
21,59000,5,9.990,0.080,MORTGAGE,N,2,1
24,65000,9,5.790,0.080,MORTGAGE,N,3,0
24,65000,8,7.660,0.150,MORTGAGE,N,4,0
25,59000,4,12.980,0.060,MORTGAGE,N,3,1
22,24000,1,8.940,0.390,RENT,N,2,1
26,65000,11,7.880,0.170,MORTGAGE,N,2,0
26,59000,2,13.480,0.340,MORTGAGE,Y,3,1
23,40574,2,14.740,0.230,RENT,Y,4,1
25,65000,0,11.480,0.230,MORTGAGE,N,4,0
25,57000,1,12.530,0.170,RENT,N,4,0
21,24000,4,14.270,0.400,RENT,N,4,1
26,65004,10,11.580,0.080,MORTGAGE,N,3,0
25,37200,6,5.990,0.260,RENT,N,4,1
24,50000,0,7.510,0.190,RENT,N,3,0
26,66000,0,13.490,0.270,OWN,Y,3,0
25,60000,5,14.270,0.130,MORTGAGE,N,3,1
25,54000,5,15.620,0.180,RENT,N,2,1
25,66000,4,14.350,0.230,MORTGAGE,N,4,0
25,71000,5,5.790,0.140,RENT,N,4,0
25,66000,0,12.210,0.280,MORTGAGE,N,2,0
24,94837,8,11.990,0.100,RENT,N,2,0
21,28000,1,11.340,0.350,RENT,N,2,1
24,18000,0,7.290,0.560,RENT,N,4,1
21,19200,0,10.990,0.520,RENT,N,3,1
25,24000,4,9.910,0.420,RENT,N,4,1
24,67000,2,10.370,0.180,MORTGAGE,N,3,0
23,61000,7,12.090,0.300,MORTGAGE,Y,3,1
25,67200,6,11.490,0.050,MORTGAGE,N,2,0
26,67260,9,7.140,0.100,MORTGAGE,N,2,0
26,29406,5,11.710,0.340,RENT,N,4,1
25,68000,3,16.290,0.100,MORTGAGE,Y,3,0
23,30000,0,15.270,0.330,RENT,Y,4,1
25,68000,8,12.420,0.090,OWN,N,4,0
24,68000,8,7.740,0.050,MORTGAGE,N,4,0
25,62000,2,17.040,0.320,MORTGAGE,N,3,1
23,62000,8,11.030,0.150,MORTGAGE,N,2,1
24,68004,5,5.420,0.060,MORTGAGE,N,4,0
22,62654,4,14.740,0.100,MORTGAGE,N,4,1
25,33996,4,12.530,0.290,RENT,N,2,1
24,68900,2,11.830,0.280,MORTGAGE,N,2,0
24,69000,7,17.190,0.080,MORTGAGE,N,2,0
25,69000,9,13.220,0.230,MORTGAGE,Y,3,0
24,63508,8,11.140,0.040,MORTGAGE,N,4,1
24,63582,3,13.850,0.220,MORTGAGE,N,3,1
23,30000,2,15.310,0.330,RENT,Y,4,1
24,69996,6,10.200,0.070,MORTGAGE,N,2,0
26,70000,11,14.270,0.290,MORTGAGE,Y,4,0
24,64000,7,14.650,0.250,MORTGAGE,N,2,1
24,34000,1,12.690,0.290,RENT,N,2,1
26,70000,6,8.490,0.060,MORTGAGE,N,2,0
25,34000,0,13.790,0.290,RENT,Y,4,1
24,70000,8,11.360,0.070,MORTGAGE,N,2,0
25,70000,9,8.590,0.070,OWN,N,3,0
25,70000,9,12.180,0.230,MORTGAGE,N,4,0
26,70000,10,8.940,0.170,MORTGAGE,N,2,0
24,39600,7,10.360,0.250,RENT,N,3,1
26,70000,6,11.260,0.170,MORTGAGE,N,4,0
22,29000,6,6.620,0.140,RENT,N,2,1
25,36499,1,10.990,0.120,RENT,N,4,1
26,71000,10,15.620,0.080,MORTGAGE,N,3,0
26,65000,3,7.290,0.060,RENT,N,2,0
26,69000,6,6.620,0.060,RENT,N,3,0
26,50500,0,7.880,0.080,RENT,N,4,0
26,71500,10,10.990,0.100,MORTGAGE,N,3,0
24,72000,8,6.030,0.070,MORTGAGE,N,3,0
23,42000,0,15.580,0.240,RENT,Y,3,1
24,72000,8,7.490,0.130,OWN,N,4,0
26,72000,1,15.280,0.150,MORTGAGE,Y,2,0
25,72000,1,7.660,0.030,MORTGAGE,N,3,0
24,50000,3,14.270,0.200,RENT,Y,4,0
26,50000,1,6.910,0.200,RENT,N,2,0
25,72000,9,14.960,0.140,MORTGAGE,N,3,0
22,44307,6,11.360,0.230,RENT,N,2,1
22,45000,6,15.960,0.220,RENT,N,2,1
24,72000,8,7.880,0.110,MORTGAGE,N,4,0
24,52000,5,11.990,0.190,RENT,N,4,0
23,46000,7,13.430,0.220,RENT,N,4,1
25,52000,1,6.910,0.190,RENT,N,2,0
24,72000,8,13.930,0.070,MORTGAGE,Y,2,0
24,72400,4,13.990,0.480,MORTGAGE,N,4,0
24,72444,7,10.740,0.350,MORTGAGE,N,4,0
24,54480,8,11.890,0.180,RENT,N,3,0
24,72800,0,10.620,0.030,MORTGAGE,N,4,0
25,49000,9,6.620,0.200,RENT,N,4,1
24,55000,5,5.420,0.180,RENT,N,2,0
23,67476,5,13.490,0.370,MORTGAGE,Y,3,1
26,57600,10,6.620,0.170,RENT,N,4,0
24,73600,7,11.360,0.330,MORTGAGE,N,2,0
26,74000,5,6.620,0.140,MORTGAGE,N,4,0
24,59600,8,5.990,0.170,RENT,N,3,0
25,74000,5,14.590,0.140,MORTGAGE,Y,4,0
26,74000,9,13.220,0.020,MORTGAGE,Y,4,0
25,54000,0,15.230,0.190,RENT,N,4,1
25,60000,5,7.140,0.170,RENT,N,4,0
25,60000,2,12.090,0.170,RENT,N,2,0
24,60629,7,7.510,0.160,RENT,N,2,0
26,56000,10,12.690,0.180,RENT,N,2,1
25,39000,0,17.740,0.100,RENT,N,2,1
25,75000,4,13.490,0.160,MORTGAGE,N,4,0
24,62000,3,13.490,0.160,RENT,Y,3,0
24,75000,7,13.490,0.160,MORTGAGE,Y,4,0
26,75000,5,5.990,0.170,MORTGAGE,N,2,0
25,64800,5,7.880,0.150,RENT,N,4,0
26,69000,10,15.990,0.090,MORTGAGE,N,2,1
26,75000,4,6.990,0.090,MORTGAGE,N,2,0
26,65000,5,14.270,0.150,RENT,N,4,0
24,65000,5,15.650,0.150,RENT,Y,4,0
26,75000,6,12.990,0.400,MORTGAGE,Y,4,0
24,75000,5,5.990,0.160,MORTGAGE,N,2,0
26,75000,4,6.920,0.160,MORTGAGE,N,3,0
24,75000,0,6.920,0.160,MORTGAGE,N,4,0
24,75000,3,11.110,0.040,MORTGAGE,N,3,0
24,67600,7,16.020,0.150,RENT,Y,2,0
25,75000,7,7.290,0.160,MORTGAGE,N,3,0
24,75000,9,5.420,0.150,MORTGAGE,N,2,0
26,70000,2,9.450,0.140,RENT,N,3,0
25,75000,5,7.510,0.040,MORTGAGE,N,4,0
24,75000,6,11.860,0.160,MORTGAGE,N,3,0
23,69000,0,14.960,0.220,MORTGAGE,N,2,1
24,75000,5,14.260,0.160,OTHER,Y,3,0
26,75000,4,6.170,0.130,RENT,N,4,0
25,69000,3,14.090,0.140,RENT,Y,2,1
24,75000,8,11.830,0.330,MORTGAGE,N,2,0
26,75000,1,11.140,0.130,RENT,N,3,0
26,75000,10,13.920,0.110,MORTGAGE,N,4,0
26,75000,1,9.630,0.040,MORTGAGE,N,3,0
24,74000,1,14.540,0.140,RENT,N,2,1
24,80004,3,7.900,0.120,RENT,N,4,0
25,84000,5,13.490,0.120,RENT,N,2,0
25,75912,9,9.990,0.300,MORTGAGE,N,4,0
23,78996,0,13.990,0.130,RENT,Y,3,1
24,84996,3,15.210,0.120,RENT,N,4,0
26,76000,10,8.490,0.070,MORTGAGE,N,3,0
25,76000,4,7.660,0.180,MORTGAGE,N,3,0
25,76300,9,11.860,0.040,MORTGAGE,N,2,0
26,76486,4,7.900,0.080,MORTGAGE,N,4,0
24,90000,8,11.890,0.110,RENT,N,4,0
25,77000,8,6.030,0.120,MORTGAGE,N,3,0
24,77000,1,11.990,0.050,MORTGAGE,N,2,0
25,30720,2,13.720,0.360,RENT,N,2,1
24,78000,6,12.690,0.060,OWN,N,3,0
24,78000,0,6.620,0.060,MORTGAGE,N,4,0
26,78000,7,11.490,0.040,MORTGAGE,N,2,0
24,78000,8,10.990,0.130,MORTGAGE,N,3,0
25,78000,9,11.480,0.180,MORTGAGE,N,3,0
25,78000,0,9.640,0.320,MORTGAGE,N,4,0
26,78420,2,11.490,0.100,MORTGAGE,N,4,0
25,79000,3,6.910,0.250,MORTGAGE,N,3,0
24,65000,2,11.890,0.180,RENT,N,3,0
24,79400,8,9.880,0.150,MORTGAGE,N,4,0
21,34500,2,15.310,0.330,RENT,N,2,1
25,80000,7,7.900,0.070,MORTGAGE,N,3,0
26,57000,0,7.510,0.200,RENT,N,3,0
24,80000,8,7.900,0.230,MORTGAGE,N,2,0
26,79000,7,11.990,0.150,RENT,N,3,0
26,80000,2,14.270,0.050,MORTGAGE,N,4,0
24,80000,6,14.650,0.090,MORTGAGE,N,4,0
26,80000,10,6.030,0.090,MORTGAGE,N,4,0
24,80000,2,6.990,0.060,MORTGAGE,N,4,0
24,80000,8,8.490,0.070,MORTGAGE,N,2,0
25,80000,5,12.680,0.180,MORTGAGE,Y,4,0
25,80000,9,10.000,0.150,MORTGAGE,N,4,0
23,74000,4,12.180,0.340,MORTGAGE,N,2,1
24,80004,3,15.270,0.030,OWN,Y,4,0
24,80004,8,10.360,0.310,OWN,N,3,0
26,80004,0,8.000,0.070,MORTGAGE,N,4,0
25,80208,1,5.420,0.050,MORTGAGE,N,4,0
26,80500,9,12.530,0.140,MORTGAGE,N,3,0
26,80730,7,7.290,0.120,MORTGAGE,N,2,0
24,81000,8,11.490,0.250,MORTGAGE,N,4,0
25,39000,2,14.840,0.110,OWN,N,2,0
26,81360,4,7.900,0.070,MORTGAGE,N,4,0
25,81600,10,12.180,0.250,MORTGAGE,N,2,0
25,82000,3,10.370,0.180,MORTGAGE,N,2,0
26,82000,1,13.570,0.240,MORTGAGE,N,2,0
25,82000,2,14.930,0.120,MORTGAGE,N,3,0
26,60000,5,10.650,0.200,RENT,N,3,0
26,60000,0,12.870,0.200,RENT,Y,4,0
25,83000,9,10.990,0.160,MORTGAGE,N,2,0
24,83000,6,5.790,0.130,MORTGAGE,N,3,0
26,83600,2,7.660,0.160,MORTGAGE,N,3,0
25,29000,0,20.250,0.100,RENT,Y,2,1
24,84000,8,7.510,0.100,MORTGAGE,N,2,0
26,84000,6,13.470,0.030,MORTGAGE,N,2,0
24,38000,2,12.530,0.130,OWN,N,3,0
25,67200,3,13.490,0.180,RENT,Y,4,0
26,70000,6,6.990,0.170,RENT,N,3,0
22,73000,6,13.490,0.080,MORTGAGE,Y,2,1
24,72000,8,13.990,0.170,RENT,Y,4,0
26,85000,10,11.990,0.130,MORTGAGE,N,4,0
24,85000,4,14.910,0.070,OWN,N,2,0
26,73000,3,13.800,0.200,MORTGAGE,Y,3,1
25,85000,6,6.540,0.050,MORTGAGE,N,3,0
22,36000,1,10.370,0.080,RENT,N,3,1
25,85000,4,6.170,0.060,MORTGAGE,N,2,0
24,85000,3,7.510,0.140,MORTGAGE,N,4,0
25,85000,5,13.850,0.110,MORTGAGE,Y,4,0
26,85000,1,12.730,0.180,MORTGAGE,Y,4,0
24,36708,2,15.330,0.080,RENT,Y,3,1
24,85000,5,11.140,0.140,MORTGAGE,N,3,0
24,73000,8,12.530,0.130,MORTGAGE,N,2,1
25,85000,1,13.790,0.060,OWN,Y,2,0
25,78000,6,12.530,0.150,RENT,N,2,0
26,85000,10,11.590,0.060,MORTGAGE,Y,2,0
26,85200,10,6.030,0.090,MORTGAGE,N,4,0
25,73248,5,11.110,0.160,MORTGAGE,N,4,1
24,85500,3,11.490,0.140,MORTGAGE,N,4,0
25,80004,4,10.360,0.150,RENT,N,3,0
24,86000,8,11.120,0.190,MORTGAGE,N,3,0
23,78000,1,14.960,0.150,RENT,N,4,1
23,74400,3,7.660,0.120,MORTGAGE,N,2,1
26,86604,5,7.660,0.050,MORTGAGE,N,2,0
24,86000,1,10.650,0.140,RENT,N,3,0
25,87000,10,7.510,0.080,MORTGAGE,N,4,0
24,87000,0,8.590,0.140,MORTGAGE,N,3,0
26,87000,1,14.740,0.170,MORTGAGE,Y,3,0
24,87700,8,10.250,0.290,MORTGAGE,N,4,0
25,90000,2,11.480,0.130,RENT,N,3,0
25,92000,5,13.430,0.130,RENT,N,3,0
24,92341,9,7.510,0.130,RENT,N,3,0
24,88000,8,14.540,0.280,MORTGAGE,N,2,0
26,88000,10,6.540,0.040,MORTGAGE,N,2,0
25,96000,1,9.990,0.130,RENT,N,4,0
26,88200,9,10.590,0.030,MORTGAGE,N,4,0
24,100000,5,7.900,0.120,RENT,N,2,0
24,89000,7,17.580,0.170,OWN,N,4,0
25,77000,9,15.950,0.190,MORTGAGE,Y,2,1
26,89000,10,10.990,0.090,MORTGAGE,N,2,0
25,110000,8,12.230,0.110,RENT,Y,2,0
26,110000,2,7.880,0.110,RENT,N,2,0
25,90000,9,9.910,0.200,MORTGAGE,N,2,0
22,78000,6,16.770,0.320,MORTGAGE,N,2,1
24,90000,8,7.900,0.050,MORTGAGE,N,4,0
22,30000,0,13.670,0.410,RENT,Y,4,1
24,50000,8,14.720,0.240,RENT,Y,3,0
26,90000,10,11.990,0.060,MORTGAGE,N,2,0
25,37200,2,16.290,0.080,RENT,N,3,1
24,90000,8,17.560,0.270,MORTGAGE,N,3,0
25,90000,9,8.000,0.110,OWN,N,4,0
24,90000,4,8.000,0.060,MORTGAGE,N,4,0
24,90996,8,16.320,0.220,MORTGAGE,Y,4,0
24,91000,8,10.990,0.110,MORTGAGE,N,4,0
24,91000,0,7.680,0.010,MORTGAGE,N,3,0
23,10000,0,14.590,0.250,RENT,Y,3,1
22,18984,6,14.220,0.130,RENT,Y,2,1
26,44000,4,22.110,0.280,RENT,Y,2,1
24,70000,3,7.880,0.180,RENT,N,3,0
26,93450,1,11.260,0.130,MORTGAGE,N,2,0
25,93500,1,12.230,0.150,MORTGAGE,N,4,0
24,32000,4,12.420,0.400,RENT,N,3,1
26,52992,6,5.420,0.240,RENT,N,4,0
25,94500,5,10.000,0.140,MORTGAGE,N,2,0
23,82800,1,9.760,0.140,MORTGAGE,N,2,1
25,103000,9,15.700,0.120,RENT,Y,4,0
24,95000,7,10.650,0.110,MORTGAGE,N,4,0
23,44000,0,17.260,0.300,RENT,Y,3,1
22,48000,3,7.880,0.270,RENT,N,3,1
24,95000,4,15.230,0.110,OWN,Y,3,0
26,54000,3,17.930,0.240,RENT,Y,2,0
25,55000,9,7.510,0.240,RENT,N,4,0
25,62000,2,6.910,0.210,RENT,N,2,0
24,95000,3,7.880,0.190,MORTGAGE,N,2,0
24,70000,0,7.900,0.190,RENT,N,3,0
24,75000,3,10.990,0.170,RENT,N,4,0
26,95004,10,8.880,0.260,MORTGAGE,N,3,0
26,108000,3,15.990,0.120,RENT,Y,3,1
25,96000,6,14.650,0.220,MORTGAGE,N,3,0
24,96000,8,7.900,0.360,MORTGAGE,N,4,0
26,96000,10,19.420,0.250,MORTGAGE,N,4,0
24,96000,1,11.990,0.050,MORTGAGE,N,3,0
24,96000,8,5.990,0.110,MORTGAGE,N,2,0
26,96000,0,5.790,0.170,MORTGAGE,N,2,0
26,96000,1,10.990,0.100,MORTGAGE,N,4,0
26,96000,4,16.700,0.210,MORTGAGE,N,4,0
24,96000,7,13.920,0.060,MORTGAGE,Y,4,0
24,97000,6,13.610,0.070,MORTGAGE,Y,4,0
25,97000,9,14.590,0.260,MORTGAGE,N,2,0
24,97000,2,10.280,0.120,MORTGAGE,N,2,0
26,97333,3,5.990,0.100,OWN,N,2,0
24,50000,2,9.880,0.280,RENT,N,2,0
24,98000,8,6.030,0.120,OWN,N,3,0
25,86000,9,10.360,0.060,MORTGAGE,N,2,1
25,55000,9,6.620,0.250,RENT,N,2,0
25,98000,3,11.140,0.010,MORTGAGE,N,4,0
26,98700,6,13.060,0.100,MORTGAGE,N,3,0
25,99600,1,12.420,0.130,MORTGAGE,N,4,0
24,99750,8,9.620,0.120,MORTGAGE,N,3,0
25,100000,9,10.650,0.050,MORTGAGE,N,3,0
25,100000,9,6.620,0.120,MORTGAGE,N,3,0
23,88000,4,14.650,0.100,MORTGAGE,N,4,1
25,70000,2,9.990,0.200,RENT,N,2,0
25,77700,2,10.990,0.180,RENT,N,2,0
24,100000,8,6.920,0.120,MORTGAGE,N,2,0
24,88000,0,9.990,0.160,RENT,N,3,0
26,90000,0,6.030,0.160,RENT,N,2,0
25,100000,2,6.170,0.150,OWN,N,4,0
24,100000,8,6.540,0.100,MORTGAGE,N,3,0
24,100000,2,10.990,0.240,OWN,N,4,0
24,100000,8,15.330,0.120,MORTGAGE,N,4,0
24,148000,8,5.420,0.090,RENT,N,2,0
25,100000,9,11.480,0.250,MORTGAGE,N,3,0
24,100000,0,12.870,0.100,MORTGAGE,Y,4,0
24,88000,0,11.660,0.070,MORTGAGE,Y,3,1
24,100400,6,16.400,0.100,MORTGAGE,Y,4,0
25,100505,9,11.990,0.350,OWN,N,3,0
24,100860,8,5.990,0.060,MORTGAGE,N,4,0
24,70000,5,12.230,0.210,RENT,N,4,0
24,103000,8,10.370,0.060,MORTGAGE,N,3,0
26,94500,6,10.370,0.150,RENT,N,3,0
25,104000,9,10.990,0.130,MORTGAGE,N,3,0
25,104000,2,6.920,0.100,OWN,N,2,0
25,92085,4,15.270,0.030,MORTGAGE,Y,3,1
26,105000,10,11.710,0.050,OWN,N,4,0
24,105000,8,15.230,0.050,MORTGAGE,N,4,0
22,51996,3,13.160,0.280,RENT,Y,2,1
24,105000,8,7.510,0.100,MORTGAGE,N,3,0
25,30000,3,11.360,0.380,OWN,N,4,0
24,105018,8,15.620,0.270,MORTGAGE,Y,4,0
23,95000,1,13.220,0.210,MORTGAGE,Y,3,1
23,95000,3,17.030,0.160,MORTGAGE,N,2,1
24,30000,6,10.960,0.250,OWN,N,4,0
25,108000,0,11.710,0.190,MORTGAGE,N,4,0
25,108000,10,10.750,0.220,MORTGAGE,N,2,0
26,108000,7,13.570,0.090,MORTGAGE,N,4,0
24,108000,1,12.530,0.170,MORTGAGE,Y,3,0
24,33500,5,13.800,0.060,RENT,N,2,1
26,110000,10,12.990,0.220,MORTGAGE,Y,4,0
25,39000,3,7.660,0.050,RENT,N,4,1
26,110000,2,10.740,0.110,MORTGAGE,N,4,0
24,110000,0,13.350,0.090,OWN,Y,2,0
24,42000,1,15.620,0.050,RENT,Y,2,1
25,98000,9,16.450,0.260,MORTGAGE,N,4,1
